Plot;BF1;BF2;BF3;BF4;BJ2;BJ3;BJ4;BJ5;BO2;BO3;BO4;BR1;BR2;BR3;BR4;HF1;HF2;HF3;HF4;HJ1;HJ2;HJ3;HJ4;HO1;HO2;HO3;HO4;HR1;HR2;HR3;HR4
Psittacula longicauda;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Psittinus cyanurus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Pycnonotus aurigaster;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2
Pycnonotus brunneus;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pycnonotus cyaniventris;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1
Pycnonotus erythropthalmos;2;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pycnonotus goiavier;0;0;0;0;0;3;0;0;5;6;5;6;2;0;0;0;0;0;0;0;0;0;0;3;5;7;3;0;0;0;1
Pycnonotus melanicterus;0;0;0;0;0;2;0;1;0;0;0;0;2;0;1;0;0;0;0;4;0;0;0;0;0;2;1;2;1;0;0
Pycnonotus plumosus;0;0;0;0;0;0;0;0;0;2;0;3;1;0;2;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0
Pycnonotus simplex;1;0;1;0;0;3;0;0;0;0;0;0;0;2;2;3;1;1;1;0;0;0;1;1;0;0;0;1;1;0;0
Rhabdotorrhinus corrugatus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rhinoplax vigil;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rhinortha chlorophaea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rhyticeros undulatus;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sitta frontalis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Spilopelia chinensis;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;1;0;1;0;0
Stachyris maculata;1;1;1;0;1;0;0;2;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Stachyris poliocephala;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Todiramphus chloris;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0
Treron curvirostra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Trichastoma bicolor;0;1;1;1;0;0;1;0;0;0;0;0;2;0;0;2;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0
Trichastoma malaccense;2;0;0;0;2;2;3;1;0;0;0;0;0;0;1;1;2;1;1;2;0;1;2;0;0;0;0;1;0;0;1
Trichastoma rostratum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Trichixos pyrropygus;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Tricholestes criniger;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0
Turdinus macrodactylus;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
